Authors	Title	Citation	DOI	Year	Month	0	1	2	3	FINDINGS	Reported	Correction Date	Retraction	Correction	No Action	"SUM 
Completed"
"Yong-Duk Park, Young-Suk Kim, Yu-Mi Jung, Sang-Im Lee, Young-Man Lee, Jae-Beum Bang, Eun-Cheol Kim"	Porphyromonas gingivalis lipopolysaccharide regulates interleukin (IL)-17 and IL-23 expression via SIRT1 modulation in human periodontal ligament cells	Cytokine 60 (2012) 284–293	10.1016/j.cyto.2012.05.021	2012					1	"Multiple, multiple cases of duplicated lanes within blots/gels"	1				1	1
"Christina Galloway, Munmun Chattopadhyay "	Increases in inflammatory mediators in DRG implicate in the pathogenesis of painful neuropathy in Type 2 diabetes	Cytokine 63 (2013) 1–5	10.1016/j.cyto.2013.04.009	2013				1		"Duplicated control panel, stretched"	1				1	1
Kyoung Sik Park (only one author)	"Aucubin, a naturally occurring iridoid glycoside inhibits TNF-_-induced inflammatory responses through suppression of NF-_B activation in 3T3-L1 adipocytes"	Cytokine 62 (2013) 407–412	10.1016/j.cyto.2013.04.005	2013					1	Multiple cases of duplicated bands within same blot panel	1				1	1
"Bin-Bin Ni, Bo Li, Yue-Hua Yang, Jiang-Wei Chen, Ke Chen, Sheng-Dan Jiang, Lei-Sheng Jiang "	The effect of transforming growth factor _1 on the crosstalk between autophagy and apoptosis in the annulus fibrosus cells under serum deprivation	Cytokine 70 (2014) 87–96	10.1016/j.cyto.2014.07.249	2014				1		"Duplicated FACS panel, gated differently"	1				1	1
"Hui Li, Jinglan Wang, Gil Mor, Jeffrey Sklar"	A Neoplastic Gene Fusion Mimics Trans-Splicing of RNAs in Normal Human Cells	"Science 321, 1357 (2008)"	10.1126/science.1156725	2008				1		"Duplicated panel, different exposure?"	1	10/2/2015		1		1
"Nitai C. Hait, Jeremy Allegood, Michael Maceyka, Graham M. Strub, Kuzhuvelil B. Harikumar, Sandeep K. Singh, Cheng Luo, Ronen Marmorstein, Tomasz Kordula, Sheldon Milstien, Sarah Spiegel"	Regulation of Histone Acetylation in the Nucleus by Sphingosine-1-Phosphate	"Science 325, 1254 (2009)"	10.1126/science.1176709	2009			1			Duplicated blot panel	1				1	1
"Hulya Karatas, Sefik Evren Erdener, Yasemin Gursoy-Ozdemir, Sevda Lule, Emine Eren-Koc_ak, Zümrüt Duygu Sen, Turgay Dalkaraen"	Spreading Depression Triggers Headache by Activating Neuronal Panx1 Channels	"Science 339, 1092 (2013)"	10.1126/science.1231897	2013					1	"Duplicated mirrored band, stamping in background"	1	10/2/2015		1		1
"Hideki Sakahira, Masato Enari, & Shigekazu Nagata"	Cleavage of CAD inhibitor in CAD activation and DNA degradation during apoptosis	Nature. 1998 Jan 1;391(6662):96-9.	10.1038/34214	1998					1	Duplicated lanes within same gel panel	1	10/29/2015		1		1
"Timothy A. Chan, Heiko Hermeking, Christoph Lengauer, Kenneth W. Kinzler, & Bert Vogelstein"	14-3-3__ is required to prevent mitotic catastrophe after DNA damage	"Nature, Vol. 401, 7 October 1999, page 616"	10.1038/44188	1999				1		"Rotated microscopy image, authors replied on PP"	1	10/29/2015			1	1
"Morgan E. Carlson, Michael Hsu, & Irina M. Conboy"	Imbalance between pSmad3 and Notch induces CDK inhibitors in old muscle stem cells	"Nature, Vol. 454, 24 July 2008, page 528"	10.1038/nature07034	2008				1		Multiple cases of overlapping microscopy panels	1	10/13/2016		1		1
"Shidong Jia, Zhenning Liu, Sen Zhang, Pixu Liu, Lei Zhang, Sang Hyun Lee, Jing Zhang, Sabina Signoretti, Massimo Loda, Thomas M. Roberts, & Jean J. Zhao"	"Essential roles of PI(3)K–p110b in cell growth, metabolism and tumorigenesis"	"Nature, Vol 454, 7 August 2008, page 776"	10.1038/nature07091	2008				1		Overlapping microscopy images	1	5/12/2016		1		1
"Michael J. Wheeler, Barend H. J. de Graaf, Natalie Hadjiosif, Ruth M. Perry, Natalie S. Poulter, Kim Osman, Sabina Vatovec, Andrea Harper, F. Christopher H. Franklin, & Vernonica E. Franklin-Tong"	Identification of the pollen self-incompatibility determinant in Papaver rhoeas	"Nature, Vol 459|18 June 2009"	10.1038/nature08027	2009					1	Duplicated area within the same blot	1	3/3/2016		1		1
